batch,plants_in_batch,relationships_returned,relationships_new,relationships_skipped
1,25,resumed,0,0
2,25,resumed,0,0
3,25,resumed,0,0
4,25,resumed,0,0
5,25,resumed,0,0
6,25,resumed,0,0
7,25,resumed,0,0
8,25,resumed,0,0
9,25,resumed,0,0
10,25,63,59,4
11,25,64,55,9
12,25,64,63,1
13,25,54,54,0
14,25,48,48,0
15,25,61,61,0
16,25,58,58,0
17,25,53,53,0
18,25,41,41,0
19,25,63,48,15
20,25,40,40,0
21,25,30,18,12
22,25,66,64,2
23,25,60,43,17
24,25,65,62,3
25,25,62,56,6
26,25,64,55,9
27,25,60,55,5
28,25,59,59,0
29,25,63,62,1
30,10,60,53,7
