node_or_edge_id,flag_id,description,resolution_applied,requires_human_review
SOIL,INC-01,Node form=UNKNOWN after normalization (cat='HB'),form left as null; function/use tags applied where possible,TRUE
Rice,INC-09,form conflict between sources — kept Islamic agronomy source value,form='grass_grain' retained,TRUE
Pearl Millet,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Lupin,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Cowpea,INC-01,Node form=UNKNOWN after normalization (cat='LP'),form left as null; function/use tags applied where possible,TRUE
Garden Pea,INC-01,Node form=UNKNOWN after normalization (cat='LP'),form left as null; function/use tags applied where possible,TRUE
Fenugreek,INC-01,Node form=UNKNOWN after normalization (cat='LP'),form left as null; function/use tags applied where possible,TRUE
Vetch,INC-01,Node form=UNKNOWN after normalization (cat='LP'),form left as null; function/use tags applied where possible,TRUE
Hyacinth Bean,INC-01,Node form=UNKNOWN after normalization (cat='LP'),form left as null; function/use tags applied where possible,TRUE
Carrot,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Onion,INC-01,Node form=UNKNOWN after normalization (cat='VG'),form left as null; function/use tags applied where possible,TRUE
Garlic,INC-01,Node form=UNKNOWN after normalization (cat='VG'),form left as null; function/use tags applied where possible,TRUE
Leek,INC-01,Node form=UNKNOWN after normalization (cat='VG'),form left as null; function/use tags applied where possible,TRUE
Artichoke,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Purslane,INC-01,Node form=UNKNOWN after normalization (cat='VG'),form left as null; function/use tags applied where possible,TRUE
Mallow,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Borage,INC-01,Node form=UNKNOWN after normalization (cat='VG'),form left as null; function/use tags applied where possible,TRUE
Parsley,INC-09,form conflict between sources — kept Islamic agronomy source value,form='groundcover' retained,TRUE
Coriander,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Fennel,INC-09,form conflict between sources — kept Islamic agronomy source value,form='groundcover' retained,TRUE
Cumin,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Anise,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Caraway,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Nigella,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Basil,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Basil,INC-09,form conflict between sources — kept Islamic agronomy source value,form='groundcover' retained,TRUE
Mint,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Mint,INC-09,form conflict between sources — kept Islamic agronomy source value,form='groundcover' retained,TRUE
Mint,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Pennyroyal,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Thyme,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Marjoram,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Rosemary,INC-09,form conflict between sources — kept Islamic agronomy source value,form='groundcover' retained,TRUE
Rosemary,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Rosemary,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Hyssop,INC-01,Node form=UNKNOWN after normalization (cat='HK'),form left as null; function/use tags applied where possible,TRUE
Costmary,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Olive,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Grapevine,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Fig,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Pomegranate,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Quince,INC-01,Node form=UNKNOWN after normalization (cat='FT'),form left as null; function/use tags applied where possible,TRUE
Almond,INC-01,Node form=UNKNOWN after normalization (cat='FT'),form left as null; function/use tags applied where possible,TRUE
Apricot,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Plum,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Cherry,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Walnut,INC-01,Node form=UNKNOWN after normalization (cat='FT'),form left as null; function/use tags applied where possible,TRUE
Carob,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Lote Tree,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Hazel,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Banana,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Banana,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Hawthorn,INC-01,Node form=UNKNOWN after normalization (cat='FT'),form left as null; function/use tags applied where possible,TRUE
Cotoneaster,INC-09,form conflict between sources — kept Islamic agronomy source value,form='canopy_tree' retained,TRUE
Cotoneaster,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Tamarind,INC-01,Node form=UNKNOWN after normalization (cat='FT'),form left as null; function/use tags applied where possible,TRUE
Saffron,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Damascus Rose,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Gallica Rose,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Dog Rose,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Common Jasmine,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Common Jasmine,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Common Jasmine,INC-09,form conflict between sources — kept Islamic agronomy source value,form='climber' retained,TRUE
Arabian Jasmine,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Myrtle,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Violet,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Lavender,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Lavender,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Spike Lavender,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Spike Lavender,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Narcissus,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Water Lily,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Iris,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Madonna Lily,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Anemone,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Stock,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Hyacinth,INC-01,Node form=UNKNOWN after normalization (cat='AP'),form left as null; function/use tags applied where possible,TRUE
Chamomile,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Elecampane,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Spikenard,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Spikenard,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Mandrake,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Liquorice,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Ginger,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Turmeric,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Aloe,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Autumn Crocus,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Caper,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Mastic,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Costus Root,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Sweet Flag,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Galingale,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Henna,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Sumac,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
White Horehound,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Pellitory,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Milk Thistle,INC-01,Node form=UNKNOWN after normalization (cat='MP'),form left as null; function/use tags applied where possible,TRUE
Cotton,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Flax,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Hemp,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Sesame,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Safflower,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Woad,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Castor,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Castor,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Sugar Cane,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Madder,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Indigo,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Papyrus,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Common Reed,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Esparto Grass,INC-01,Node form=UNKNOWN after normalization (cat='IF'),form left as null; function/use tags applied where possible,TRUE
Willow,INC-01,Node form=UNKNOWN after normalization (cat='ST'),form left as null; function/use tags applied where possible,TRUE
Willow,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Colocynth,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Henbane,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Black Hellebore,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
White Hellebore,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Euphorbia,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Asafoetida,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Oleander,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Wormwood,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Squirting Cucumber,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Stavesacre,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Stavesacre,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Hemlock,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Datura,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Aconite,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Squill,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Spurge Laurel,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Glasswort Ash,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Nux Vomica,INC-01,Node form=UNKNOWN after normalization (cat='TP'),form left as null; function/use tags applied where possible,TRUE
Darnel,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Glasswort Saline,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Thorny Burnet,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Wild Oat,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Bindweed,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Nettle,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Asphodel,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Dock,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Bramble,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Buckthorn,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Wild Golden Thistle,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Sea Blite,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Field Spurge,INC-01,Node form=UNKNOWN after normalization (cat='WU'),form left as null; function/use tags applied where possible,TRUE
Wild Pomegranate,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
Broad Bean / Fava,INC-01,Node form=UNKNOWN after normalization (cat='Legumes & pulses'),form left as null; function/use tags applied where possible,TRUE
Chard / Beet,INC-13,name_ar or name_sci conflict between sources,first-encountered value retained,TRUE
